schema,table,column,ruling,reason,n_nonempty,pct_double,pct_date
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,REGISTRATION_MANAGINGLOU,keep_text,id_smell,484142,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,REGISTRATION_VALIDATIONDOCUMENTS,keep_text,low_cast,484142,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,REGISTRATION_VALIDATIONREFERENCE,keep_text,low_cast,98332,0.001,0.001
ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,EMPLOYEES,ambiguous_number,both_parse,100,1.000,1.000
ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,REVENUE_GROWTH,keep_text,low_cast,100,0.000,0.000
ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,REVENUE_USD_MILLIONS,ambiguous_number,both_parse,100,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,ASSET_MGR_POSITIONS_LONG_ALL,ambiguous_number,both_parse,34683,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,ASSET_MGR_POSITIONS_SHORT_ALL,ambiguous_number,both_parse,34683,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,ASSET_MGR_POSITIONS_SPREAD_ALL,ambiguous_number,both_parse,34683,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,CHANGE_IN_ASSET_MGR_LONG_ALL,keep_text,partial_cast,34683,0.981,0.981
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,CHANGE_IN_ASSET_MGR_SHORT_ALL,keep_text,partial_cast,34683,0.981,0.981
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,CHANGE_IN_ASSET_MGR_SPREAD_ALL,keep_text,partial_cast,34683,0.981,0.981
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_ASSET_MGR_LONG_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_ASSET_MGR_SHORT_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_ASSET_MGR_SPREAD_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_DEALER_LONG_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_DEALER_SHORT_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_DEALER_SPREAD_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_LEV_MONEY_LONG_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_LEV_MONEY_SHORT_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_LEV_MONEY_SPREAD_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_NONREPT_LONG_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_NONREPT_SHORT_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_OTHER_REPT_LONG_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_OTHER_REPT_SHORT_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_OTHER_REPT_SPREAD_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_TOT_REPT_LONG_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_TOT_REPT_SHORT_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OPEN_INTEREST_ALL,cast_double,clean,34683,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,TRADERS_ASSET_MGR_LONG_ALL,keep_text,partial_cast,34683,0.856,0.856
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,TRADERS_ASSET_MGR_SHORT_ALL,keep_text,partial_cast,34683,0.787,0.787
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,TRADERS_ASSET_MGR_SPREAD_ALL,keep_text,partial_cast,34683,0.734,0.734
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,CHANGE_IN_TOTAL_REPORTABLE_LONG_ALL,keep_text,partial_cast,287053,0.984,0.984
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,CHANGE_IN_TOTAL_REPORTABLE_SHORT_ALL,keep_text,partial_cast,287053,0.984,0.984
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_LONG_ALL,cast_double,clean,287053,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_LONG_OLD,cast_double,clean,287053,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_LONG_OTHER,cast_double,clean,287053,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_SHORT_ALL,cast_double,clean,287053,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_SHORT_OLD,cast_double,clean,287053,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_SHORT_OTHER,cast_double,clean,287053,1.000,0.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_LONG_ALL,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_LONG_OLD,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_LONG_OTHER,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_SHORT_ALL,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_SHORT_OLD,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_SHORT_OTHER,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_ALL,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_OLD,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_OTHER,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_LONG_ALL,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_LONG_OLD,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_LONG_OTHER,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_SHORT_ALL,ambiguous_number,both_parse,287053,1.000,1.000
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_SHORT_OLD,ambiguous_number,both_parse,287053,1.000,1.000
