schema,mart_table,column,raw_table,old_verdict,verdict,mart_rows,raw_rows,mart_non_blank,raw_non_blank,raw_top_values
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_5_QUANTIFIERAMOUNT,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_5_QUANTIFIERUNITS,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_REPEX,EXCEPTION_REFERENCE_5,LIBRARY_RAW.LANDING.INTL_GLEIF_REPEX,raw_also_empty,raw_also_empty,6313372,6313372,0,0,
ECONOMICS,ECONOMICS__INTL_IT_ISTAT,UNIT_MEASURE,LIBRARY_RAW.LANDING.INTL_IT_ISTAT,raw_also_empty,raw_also_empty,213284,213284,0,0,
ECONOMICS,ECONOMICS__INTL_IT_ISTAT,UNIT_MULT,LIBRARY_RAW.LANDING.INTL_IT_ISTAT,raw_also_empty,raw_also_empty,213284,213284,0,0,
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS,ELECTIONS,LIBRARY_RAW.LANDING.FED_GOOGLE_POLADS_ADVERTISER_STATS,raw_also_empty,raw_also_empty,21211,21211,0,0,
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,ELECTION_CYCLE,LIBRARY_RAW.LANDING.FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,raw_also_empty,raw_also_empty,298884,298884,0,0,
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,AD_CAMPAIGNS_LIST,LIBRARY_RAW.LANDING.FED_GOOGLE_POLADS_CREATIVE_STATS,raw_also_empty,raw_also_empty,1562870,1562870,0,0,
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_USD,LIBRARY_RAW.LANDING.FED_GOOGLE_POLADS_CREATIVE_STATS,raw_also_empty,raw_also_empty,1562870,1562870,0,0,
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,UNNAMED_59,LIBRARY_RAW.LANDING.FED_GOOGLE_POLADS_CREATIVE_STATS,raw_also_empty,raw_also_empty,1562870,1562870,0,0,
